scientific_name,common_name,created_at,updated_at
Asteraceae,Aster family,2022-10-06 20:07:41.938544-04,2022-10-06 20:07:41.938544-04
Boraginaceae,Borage family,2022-10-06 20:07:41.938544-04,2022-10-06 20:07:41.938544-04
Brassicaceae,Mustard family,2022-10-06 20:07:41.938544-04,2022-10-06 20:07:41.938544-04
Fabaceae,Pea family,2022-10-06 20:07:41.938544-04,2022-10-06 20:07:41.938544-04
Poaceae,Grass family,2022-10-06 20:07:41.938544-04,2022-10-06 20:07:41.938544-04
Polygonaceae,Buckwheat family,2022-10-06 20:07:41.938544-04,2022-10-06 20:07:41.938544-04
