label,created_at,updated_at
Brassica,2022-10-06 19:54:22.761914-04,2022-10-06 19:54:22.761914-04
Broadleaf,2022-10-06 19:54:22.761914-04,2022-10-06 19:54:22.761914-04
Grass,2022-10-06 19:54:22.761914-04,2022-10-06 19:54:22.761914-04
Legume,2022-10-06 19:54:22.761914-04,2022-10-06 19:54:22.761914-04
